LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
42.7287,-78.8883,360427,3,17,7,1
40.6666,-73.7647,360428,2,18,7,1
41.9281,-73.9106,360429,1,6,7,1
40.6575,-73.5719,360430,1,4,7,1
42.6616,-73.7608,360431,2,19,7,1
40.6579,-73.5840,360432,2,11,7,1
40.7037,-73.6358,360433,2,10,7,1
41.0230,-72.5004,360434,2,18,7,4
40.9343,-72.7094,360435,2,17,7,1
40.7094,-73.6070,360436,1,18,7,1
42.7228,-75.3051,360437,1,19,3,1
99.9999,999.9999,360438,2,19,7,1
40.7245,-73.5614,360439,2,20,7,1
40.7609,-73.9611,360440,1,14,5,1
40.5864,-73.9469,360441,1,16,5,1
40.5307,-74.2252,360442,1,20,7,1
40.6553,-73.9297,360443,1,19,5,1
40.7704,-73.9819,360444,1,1,6,1
40.7148,-73.9591,360445,1,11,6,1
40.7627,-73.9656,360446,1,15,6,1
99.9999,999.9999,360447,1,20,7,1
43.4781,-73.3077,360448,1,21,7,1
41.2055,-73.7648,360449,1,21,7,1
41.5070,-74.0811,360450,1,22,7,1
43.1159,-75.6723,360451,1,24,7,1
42.7017,-73.8147,360452,1,13,4,1
41.4477,-73.6629,360453,1,13,4,1
40.5607,-73.9205,360454,2,31,5,1
40.7171,-73.7995,360455,2,24,7,1
41.2970,-74.3908,360456,2,18,5,1
40.7557,-73.2128,360457,1,16,5,1
42.9125,-75.7102,360458,2,5,6,1
42.3104,-78.4163,360459,1,29,6,1
41.0392,-73.7913,360460,1,1,7,1
43.0894,-78.9887,360461,2,28,5,1
42.5002,-76.2981,360462,1,5,7,1
42.4910,-73.5490,360463,1,9,7,1
42.5480,-75.5253,360464,2,8,7,1
43.0192,-76.1606,360465,1,8,7,1
42.7858,-77.4988,360466,1,15,7,1
40.7832,-72.8644,360467,1,17,7,1
43.1482,-75.1050,360468,2,9,7,1
41.3745,-74.1800,360469,1,10,7,1
43.1953,-77.5845,360470,1,17,7,1
41.2849,-74.1773,360471,1,23,7,1
40.9035,-72.6043,360472,2,9,7,1
42.7010,-75.7460,360473,3,23,7,1
44.8717,-74.3401,360474,2,4,6,2
40.8369,-73.4835,360475,2,18,7,1
41.3122,-74.1545,360476,1,27,6,1
99.9999,999.9999,360477,1,24,7,1
43.6396,-75.9927,360478,1,24,7,1
40.5891,-74.1674,360479,1,26,7,1
40.6962,-73.6825,360480,2,26,7,1
43.0781,-78.4771,360481,1,26,7,1
44.2620,-75.3431,360482,1,28,7,1
40.7497,-73.9379,360483,1,28,7,1
41.7269,-73.7813,360484,1,16,7,1
99.9999,999.9999,360485,1,24,7,1
43.2364,-77.5270,360486,1,30,7,1
43.0553,-76.1534,360487,1,13,6,1
42.0980,-79.3082,360488,2,30,7,1
43.1565,-77.7187,360489,1,31,7,1
43.1129,-73.7249,360490,2,31,7,1
42.0925,-79.4122,360491,1,27,6,1
40.5537,-74.1407,360492,2,2,8,1
41.0302,-73.8207,360493,4,7,5,1
42.2672,-76.8178,360494,1,2,8,1
42.6960,-78.7421,360495,1,23,5,1
40.9444,-73.8477,360496,1,26,7,1
43.5037,-76.2783,360497,1,2,8,1
40.8878,-73.6001,360498,1,13,7,1
41.4868,-74.8341,360499,1,27,7,1
40.8365,-73.8245,360500,1,3,8,1
44.6743,-74.5505,360501,1,29,7,1
41.9891,-73.7348,360502,1,4,8,1
42.0421,-76.8545,360503,1,3,8,1
99.9999,999.9999,360504,2,29,7,1
40.6517,-73.7592,360505,2,5,8,1
40.6487,-74.0132,360506,1,5,8,1
40.6665,-73.7725,360507,3,8,8,1
99.9999,999.9999,360508,1,7,8,1
44.7952,-74.4805,360509,1,27,7,1
42.3007,-73.9935,360510,2,6,8,1
40.7648,-73.0808,360511,1,14,6,1
44.6941,-74.5552,360512,1,2,8,1
99.9999,999.9999,360513,2,5,5,1
43.2261,-76.9821,360514,2,9,8,2
43.7646,-76.1960,360515,3,9,8,1
42.0288,-76.9542,360516,1,9,8,1
40.6902,-73.9943,360517,1,9,8,1
40.7542,-73.9690,360518,1,10,8,1
42.9072,-78.7842,360519,1,9,7,1
99.9999,999.9999,360520,1,31,7,1
40.7508,-73.7793,360521,4,10,8,1
42.8053,-73.9321,360522,1,14,8,1
43.1083,-73.6004,360523,3,10,8,1
42.7303,-78.7707,360524,2,6,8,1
43.0628,-75.6843,360525,1,16,8,2
99.9999,999.9999,360526,1,25,7,1
40.6772,-73.4563,360527,2,1,4,1
40.6960,-73.4638,360528,4,4,5,1
40.7557,-73.7393,360529,1,4,5,1
42.9513,-76.7634,360530,2,9,8,1
40.6897,-73.9224,360531,1,12,8,1
42.1334,-75.8754,360532,1,13,8,1
44.4566,-75.7065,360533,1,13,8,1
43.3565,-73.5367,360534,1,12,8,1
44.7796,-73.9855,360535,1,14,8,1
43.8154,-76.1156,360536,1,16,8,1
41.6379,-74.0947,360537,1,15,8,1
43.7926,-76.2000,360538,2,15,8,1
41.3230,-74.0740,360539,2,16,8,2
40.6020,-74.1632,360540,3,16,8,1
42.9634,-74.2499,360541,1,17,8,1
43.1904,-78.9301,360542,2,11,8,1
40.7687,-73.0554,360543,1,19,8,1
40.7086,-73.5789,360544,2,16,8,1
42.8596,-77.0340,360545,1,16,8,1
40.7488,-73.8917,360546,1,19,8,1
43.2167,-74.1361,360547,1,20,8,1
40.7766,-73.2151,360548,1,5,7,1
43.7107,-76.0754,360549,1,20,8,1
40.7062,-73.3065,360550,2,7,7,1
42.0912,-75.9112,360551,2,17,8,1
40.8006,-72.8800,360552,2,7,7,1
40.7739,-73.0076,360553,1,19,7,1
40.8927,-73.0433,360554,2,20,7,1
42.0482,-79.2345,360555,2,25,7,1
40.7934,-72.9076,360556,1,26,7,1
40.8293,-73.1159,360557,1,21,7,1
40.6736,-74.0117,360558,1,29,7,1
43.0455,-76.1196,360559,1,10,8,1
42.7047,-78.3879,360560,2,7,8,1
41.7264,-74.4189,360561,2,12,8,1
99.9999,999.9999,360562,3,12,8,2
41.1477,-73.9937,360563,1,3,7,1
42.3604,-74.4751,360564,2,7,6,1
42.9057,-73.7786,360565,2,7,8,1
41.6442,-73.7880,360566,1,15,8,1
40.6203,-73.5014,360567,2,15,8,1
41.1023,-73.9520,360568,1,16,8,1
43.0743,-75.7188,360569,3,17,8,1
99.9999,999.9999,360570,1,19,8,1
40.6287,-74.0214,360571,1,20,8,1
41.3281,-74.3559,360572,3,20,8,1
42.4954,-73.5434,360573,2,27,7,1
40.7664,-73.9822,360574,1,20,8,1
40.6064,-73.7517,360575,1,20,8,1
