LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
39.4941,-74.5977,340320,3,6,8,1
40.6121,-74.2239,340321,2,4,8,1
40.5941,-74.6627,340322,2,19,8,2
40.9710,-75.1317,340323,2,25,9,1
40.9000,-73.9953,340324,1,29,9,1
40.2868,-74.0786,340325,2,2,9,1
39.5855,-75.0868,340326,1,26,9,1
39.5697,-74.5486,340327,2,15,9,1
40.5664,-74.3324,340328,1,16,9,1
39.4946,-75.0519,340329,2,16,10,1
39.7290,-75.0493,340330,2,8,6,1
40.5041,-74.3987,340331,3,27,6,1
40.8949,-74.2601,340332,2,15,8,2
40.5420,-74.3981,340333,1,17,9,1
40.5427,-74.4003,340334,1,13,9,1
41.3234,-74.7204,340335,1,17,9,1
40.9527,-74.5964,340336,1,19,9,1
40.6395,-74.2313,340337,2,12,9,1
40.6167,-75.0042,340338,2,23,9,2
39.6814,-74.2283,340339,2,26,9,1
39.8201,-74.9946,340340,2,16,7,1
39.4263,-74.6384,340341,2,19,9,1
41.2133,-74.4920,340342,1,1,9,1
40.2411,-74.7514,340343,1,6,9,1
40.2280,-74.7566,340344,1,23,9,1
40.1016,-74.1393,340345,2,19,9,1
40.7750,-74.1590,340346,1,18,4,1
39.3821,-74.4989,340347,1,29,7,1
39.8001,-75.0255,340348,2,16,10,2
39.7731,-74.8411,340349,2,29,10,1
40.0513,-74.1994,340350,2,30,10,1
40.8498,-74.0003,340351,1,25,10,1
40.2459,-74.7640,340352,1,26,6,1
40.3004,-74.6056,340353,2,26,7,1
39.2584,-74.6823,340354,2,24,9,1
40.3993,-74.2281,340355,2,28,10,1
40.5538,-75.0756,340356,2,3,9,1
40.9080,-74.5050,340357,1,23,10,1
39.9405,-74.2357,340358,1,1,10,1
39.4092,-75.0450,340359,1,14,9,1
39.6873,-75.4879,340360,1,4,9,1
39.5209,-75.0505,340361,2,24,10,2
39.9500,-74.1441,340362,1,22,8,1
40.2773,-74.2229,340363,1,30,8,1
39.2855,-74.9550,340364,4,12,8,2
40.3466,-74.2829,340365,2,26,10,1
39.1954,-74.7154,340366,1,24,10,1
39.7072,-75.0954,340367,3,20,10,1
40.0554,-74.7720,340368,1,8,10,1
40.5360,-74.3991,340369,1,1,10,1
40.6409,-75.1801,340370,1,28,10,1
40.7653,-74.9446,340371,3,14,10,1
41.0624,-74.2519,340372,2,25,10,1
40.9425,-74.2780,340373,2,22,10,1
40.1470,-74.2311,340374,1,21,10,1
40.7248,-74.0922,340375,1,3,10,1
39.4445,-74.4972,340376,2,29,10,1
40.7282,-74.2314,340377,1,23,10,1
40.4602,-74.3609,340378,1,9,10,1
40.4440,-74.2664,340379,1,11,10,1
39.4607,-75.2168,340380,2,12,7,1
40.2323,-74.4103,340381,1,25,9,1
40.7141,-74.2788,340382,3,19,10,1
40.4993,-74.4433,340383,1,15,10,1
40.4932,-74.2919,340384,2,27,10,1
40.1806,-74.5556,340385,1,5,11,1
39.7201,-75.1145,340386,1,5,11,1
39.5494,-75.4001,340387,1,29,11,1
39.5360,-74.2598,340388,1,20,11,1
40.0522,-74.8949,340389,1,22,12,1
40.2883,-74.6121,340390,1,27,12,1
40.4265,-74.1788,340391,2,12,12,1
39.9451,-74.7007,340392,2,1,12,2
40.7581,-74.1664,340393,3,20,12,1
40.7103,-74.2235,340394,2,14,12,1
40.7252,-74.1838,340395,1,9,12,1
40.4285,-74.2343,340396,1,23,12,1
40.8892,-74.0224,340398,1,25,12,1
40.4301,-74.5596,340399,1,28,12,1
40.6352,-74.4084,340400,1,26,12,2
39.7480,-74.9369,340401,2,14,12,1
39.9130,-74.1545,340402,1,12,12,1
39.5219,-75.0690,340403,2,2,12,1
39.8064,-74.9671,340404,1,28,6,1
39.7597,-74.8839,340405,2,11,9,1
39.7572,-75.0342,340406,1,14,10,1
40.8755,-74.1525,340407,1,22,11,1
40.6259,-74.9059,340408,1,25,11,1
40.3624,-74.1951,340409,2,27,11,1
39.2591,-74.9107,340410,1,27,11,1
40.3470,-74.6681,340411,2,26,8,1
40.3481,-74.1952,340412,1,3,10,1
40.1297,-74.6943,340413,3,3,12,2
39.8063,-74.9672,340414,2,5,12,1
39.9378,-74.7933,340415,1,26,12,1
39.5136,-74.6863,340416,1,27,11,1
39.4567,-74.5415,340417,4,24,11,1
40.8073,-74.2157,340418,1,19,11,1
40.9596,-74.2353,340419,1,23,11,1
39.9496,-74.4862,340420,2,12,12,1
39.5504,-75.4106,340421,1,17,12,1
39.8865,-75.0605,340422,2,26,9,1
40.0175,-74.8308,340423,1,30,12,1
40.7560,-74.2500,340424,1,5,12,1
40.2805,-74.6716,340425,2,15,12,1
40.8772,-74.0942,340426,1,20,11,1
39.4139,-74.5989,340427,2,25,11,1
40.9105,-74.5601,340428,3,11,7,3
40.6477,-74.5115,340429,2,11,7,2
39.5937,-75.2394,340430,2,17,7,1
39.9960,-74.7863,340431,1,13,11,1
40.2308,-74.0389,340432,1,20,11,1
40.2719,-74.2177,340433,1,16,9,2
39.9300,-74.9542,340434,1,10,11,1
40.2065,-74.0476,340435,1,11,11,1
39.7529,-75.2776,340436,3,9,11,2
40.0470,-74.4507,340437,2,9,11,1
40.1065,-74.5027,340438,2,26,8,1
39.3914,-74.5278,340439,1,12,9,1
39.9312,-74.7237,340440,1,18,8,2
40.2245,-74.4296,340441,2,14,11,1
39.4956,-75.0763,340442,2,19,11,1
39.5612,-74.7487,340443,1,18,11,1
40.8950,-74.1598,340444,1,6,11,1
40.7652,-74.1106,340445,1,7,10,1
39.2586,-75.0248,340446,1,30,11,1
40.7198,-74.5494,340447,2,28,11,3
40.7450,-74.1855,340448,1,13,11,1
39.6581,-75.4542,340449,1,18,11,1
40.2955,-74.0291,340450,2,15,11,1
40.9352,-75.0178,340451,1,17,11,1
39.8034,-75.056,340452,2,14,11,1
40.8961,-74.2514,340453,1,8,11,1
40.7170,-74.2401,340454,1,7,11,1
40.6605,-75.0565,340455,2,7,11,1
39.5857,-74.7171,340456,2,28,9,1
40.7323,-74.1706,340457,1,17,2,1
40.9309,-74.1316,340458,2,14,8,1
40.5949,-74.4458,340459,2,4,11,1
40.7612,-74.1770,340461,1,24,1,1
40.6769,-74.1869,340462,2,9,11,1
40.3167,-73.9796,340463,1,27,11,1
40.7061,-74.0996,340464,1,21,9,1
39.4413,-75.2462,340465,1,15,10,1
40.7309,-74.0574,340466,1,23,10,1
40.6567,-74.1276,340467,1,31,12,1
39.3897,-74.5201,340468,1,23,12,1
40.6098,-74.4356,340469,1,7,11,1
39.3407,-74.9959,340470,1,5,11,1
40.6692,-74.1078,340471,1,2,11,2
40.9802,-75.0057,340472,2,24,8,1
40.9080,-74.1569,340473,1,11,11,1
40.3117,-74.3042,340474,1,8,12,1
41.0406,-74.6300,340475,2,8,12,1
40.9034,-74.4080,340476,2,9,9,1
40.3263,-74.4058,340477,1,25,11,1
39.3821,-74.4991,340478,1,5,9,1
40.0025,-74.8004,340479,2,28,11,1
40.2424,-74.0373,340480,1,29,12,1
40.2043,-74.0190,340481,1,19,12,1
40.6601,-74.2212,340482,1,20,7,1
40.9114,-74.1644,340483,1,10,8,1
40.6731,-74.1988,340484,1,16,9,1
40.7413,-74.1690,340485,2,20,9,1
39.5024,-74.6703,340486,2,26,9,2
40.6120,-74.4155,340487,2,26,10,1
40.8809,-74.1603,340488,1,7,11,1
40.5060,-74.8450,340489,1,15,10,1
39.6964,-75.1339,340490,2,14,12,1
39.9423,-75.1055,340492,1,17,9,1
39.988,-75.0097,340493,2,24,10,1
39.8468,-74.9901,340494,1,28,11,1
40.6703,-74.2020,340495,1,9,12,1
39.8483,-75.1250,340496,1,24,12,1
40.1140,-74.7890,340497,1,19,12,1
40.0859,-74.2093,340498,1,26,12,1
40.7490,-74.0394,340499,2,11,8,1
41.0406,-74.4993,340500,1,25,10,2
40.6449,-75.1302,340501,2,26,11,1
40.7504,-74.1864,340502,2,14,11,1
40.7866,-74.3513,340503,1,17,11,1
40.0582,-74.1378,340504,1,26,11,1
39.8681,-75.0407,340505,2,24,12,1
40.7135,-74.1887,340506,2,25,12,1
39.797,-74.3748,340507,1,24,12,1
40.0415,-74.5802,340508,1,30,12,1
40.2213,-74.2669,340509,1,23,12,1
40.6966,-74.2546,340510,1,19,12,1
40.9237,-73.9945,340511,1,17,12,1
40.6467,-74.2353,340512,2,13,12,1
40.6706,-74.3196,340513,1,11,12,1
40.7866,-74.0318,340514,2,28,12,1
40.9545,-74.2710,340515,1,27,12,1
40.7296,-74.0690,340516,4,22,12,1
77.7777,777.7777,340517,1,27,12,1
39.0194,-74.8714,340518,1,25,10,1
40.5704,-74.3868,340519,1,14,12,1
40.7186,-74.2120,340520,2,1,9,1
40.5317,-74.2908,340521,1,31,12,1
40.7308,-74.0847,340522,2,29,12,1
40.8671,-73.9541,340523,1,12,12,2
40.3438,-74.1094,340524,1,31,12,1
40.4376,-74.4310,340525,1,29,12,1
40.7008,-74.3505,340526,1,20,12,1
40.3052,-74.4932,340527,3,24,12,1
40.1749,-74.4670,340528,2,17,12,1
40.1859,-74.6946,340529,1,5,12,1
39.3835,-74.5025,340530,4,4,12,1
40.8529,-74.1320,340531,2,17,12,1
39.5897,-75.4908,340532,1,25,12,1
